sku,ean,descrizione,marchio,categoria1,categoria2,categoria3,prezzo_vendita,prezzo_pubblico,link_icecat,thumb_url,scheda_tecnica_presente
015796,8054187279461,AE55MI3 CUCINA 53CM 4F/GAS F.ELETT. CL.A C/GRILL INOX,GLEM,GED COTTURA,CUCINE CON FORNO ELETTRICO,,417.45,549.0,,,NO
045851,4002515105924,E9256140 ELEMENTO GIUNZIONE PER LAVATRICI BIANCO WTV502,MIELE,GED LAVAGGIO,ACCESSORI,ACCESSORI LAVATR./ASCIUG.,57.12,86.9,,,NO
049168,4002516678199,12421140 SACCHETTO POLVERE TIPO F/J/M HYCLEAN PURE 4PZ,MIELE,PED LINEA PULIZIA,ACCESSORI E RICAMBI,SACCHETTI,11.1,15.9,,,NO
049169,4002516769781,12421130 SACCHETTO POLVERE TIPO G/N HYCLEAN PURE 4PZ,MIELE,PED LINEA PULIZIA,ACCESSORI E RICAMBI,SACCHETTI,11.1,14.9,,,NO
053311,8004399180352,EO14552W FORNETTO EL. 1400W 14LT DIAM.31CM C/GRILL,DELONGHI,PED LINEA CUCINA,COTTURA,FORNI ELETTRICI,114.61,145.9,,,NO
061021,4002515591444,10123260 SACCHETTO POLVERE HYCLEAN K/K SERIE S140/S157S163,MIELE,PED LINEA PULIZIA,ACCESSORI E RICAMBI,SACCHETTI,11.1,15.9,,,NO
11010105466,8054187279478,AE55MX3 CUCINA 53CM 4F/GAS F.ELETT. CL.A C/GRILL BIANCO,GLEM,GED COTTURA,CUCINE CON FORNO ELETTRICO,FINO A 59 CM,399.07,549.0,,,NO
11010107313,8073024916208,P4GFXV P.COTT. 60CM INOX 4F VALVOLATO,GLEM,GED INCASSO,PIANI COTTURA,A GAS,139.22,199.0,,,NO
212071,4002515725337,BLIZZARDCX1CATDOGPOWERLINENEW ASPIR. S/SACCO 890W 2LT HEPA CL.CBA,MIELE,PED LINEA PULIZIA,ASPIRAPOLVERE,CARRELLO SENZA SACCO,304.5,399.0,,,NO
287441,5413184151553,5KEK1222EER BOLLITORE EL.1500W 1.25LT GIREV.360GR ROSSO IMPER.,KITCHENAID,PED LINEA CUCINA,PREPARAZIONE CIBI,BOLLITORI,88.33,109.9,,,NO
287445,5413184151119,5KEK1522ECA BOLLITORE 2400W 1.5LT ARTISAN ROSSO MELA METALLIZZ,KITCHENAID,PED LINEA CUCINA,PREPARAZIONE CIBI,BOLLITORI,169.36,249.0,,,NO
287489,5413184170189,5KMT2204EER TOSTAPANE 1250W 7PROG. 2SCOMP. C/1 PINZA ART.ROSSO,KITCHENAID,PED LINEA CUCINA,COTTURA,ACCESSORI E RICAMBI,223.82,329.0,,,NO
287523,5413184200787,5KSM125EER IMPASTATORE 300W 4.8LT 1CIOT.3FRUSTE ROSSO IMPER.,KITCHENAID,PED LINEA CUCINA,PREPARAZIONE CIBI,ROBOT,419.56,499.0,,,NO
294258,5025232687848,ERGY10CM504 MULTIGROOMING RIC. 6IN1 WET&DRY AUTON.50MIN,PANASONIC,PED LINEA PERSONA,RASATURA,REGOLABARBA,34.1,39.9,,,NO
305555,4002515105917,E9256130 ELEMENTO GIUNZIONE PER LAVATRICI CHROME WTV501,MIELE,GED LAVAGGIO,ACCESSORI,ACCESSORI LAVATR./ASCIUG.,57.12,84.9,,,NO
307099,4211125748166,BF195LIMED BILANCIA DIAGNOSTICA LCD 180KG/0.1KG AMR 10MEM.,BEURER,PED LINEA PERSONA,BILANCE PESA PERSONE,BILANCE PESA PERSONE,20.96,24.9,,,NO
307107,4211125654863,BS55 SPECCHIO COSMETICO 13CM C/LUCE LED INGRANDIM.7X,BEURER,PED LINEA PERSONA,LINEA BELLEZZA,ACCESSORI E RICAMBI,39.64,45.9,,,NO
312007,9005835310332,97515586 PASTIGLIE IGIENE LAVATRICE CLEAN TECHNOLOGY 6PZ,MIELE,GED LAVAGGIO,ACCESSORI,ACCESSORI LAVATR./ASCIUG.,10.84,13.9,,,NO
312017,4002515541876,10027990 DECALCIFICANTE PER LAVATRICI/LAVASTOVOGLIE 250GR,MIELE,GED LAVAGGIO,ACCESSORI,ACCESSORI LAVATR./ASCIUG.,10.05,12.9,,,NO
312020,4002515636152,10234530 PROFUMATORE PER ASCIUGABIANCHERIA FRAGRANZA NATURE,MIELE,GED LAVAGGIO,ACCESSORI,ACCESSORI LAVATR./ASCIUG.,10.84,13.9,,,NO
312024,4002515641231,10248630 SALE RIGENERANTE 1.5 KG ,MIELE,GED LAVAGGIO,ACCESSORI,ACCESSORI LAVASTOVIGLIE,4.61,4.9,,,NO
312026,4002515773390,10528420 DETERSIVO IN POLVERE PER LAVASTOVIGLIE 1.4KG,MIELE,GED LAVAGGIO,ACCESSORI,ACCESSORI LAVASTOVIGLIE,15.51,19.9,,,NO
312028,4002515881095,10717110 PRODOTTO PER PULIZIA PER LAVATRICI/LAVASTOV.200GR,MIELE,GED LAVAGGIO,ACCESSORI,ACCESSORI LAVATR./ASCIUG.,10.84,12.9,,,NO
312446,8033945383886,GT32IX P.COTT. 30CM 2F/GAS G.SMALTATE INOX SERIE DOMINO,GLEM,GED INCASSO,PIANI COTTURA,SERIE DOMINO 30cm.,121.06,189.0,,,NO
312447,8033945384104,GT320IX P.COTT. 30CM 2PIASTRE ELETTRICHE INOX SERIE DOMINO,GLEM,GED INCASSO,PIANI COTTURA,SERIE DOMINO 30cm.,110.88,169.0,,,NO
312448,8054187278525,GT955SA P.COTT.GAS 90CM 5F VALVOLATO SABBIA,GLEM,GED INCASSO,PIANI COTTURA,A GAS,316.4,489.0,,,NO
312465,4002515171769,GW42105SW PANNELLO COMANDI X LAVAST.G4210 INNOVA NERO,MIELE,GED INCASSO,ACCESSORI E RICAMBI,ACCESSORI E RICAMBI,31.52,59.0,,,NO
315013,8052745124284,A654MI6 CUCINA 60X50CM 4F F.MULTI6 CL.A IX ALPHA,GLEM,GED COTTURA,CUCINE CON FORNO ELETTRICO,DA 60 A 69 CM,521.09,729.0,,,NO
315014,8052745124314,A654MX6 CUCINA 60X50CM 4F F.MULTI6 CL.A BIANCO ALPHA,GLEM,GED COTTURA,CUCINE CON FORNO ELETTRICO,DA 60 A 69 CM,538.28,729.0,,,NO
315085,8033945383107,GT64TF P.COTT. 60CM 4F/GAS G.SMALTATE TERRA DI FRANCIA,GLEM,GED INCASSO,PIANI COTTURA,A GAS,190.55,299.0,,,NO
315087,8052745125038,GT645SA P.COTT.GAS 60CM 3F+1TR.CORONA G.SMALTATA SABBIA,GLEM,GED INCASSO,PIANI COTTURA,A GAS,234.97,359.0,,,NO
316584,4002515773420,10528500 RICARICA DETERSIVO IN POLVERE X LAVASTOVIGLIE 1KG,MIELE,GED LAVAGGIO,ACCESSORI,ACCESSORI LAVASTOVIGLIE,10.05,12.9,,,NO
319139,4002515575840,10118560 DEODORANTE LAVASTOVIGLIE FRESH LIME E TE VERDE 4ML,MIELE,GED LAVAGGIO,ACCESSORI,ACCESSORI LAVASTOVIGLIE,6.94,7.5,,,NO
319675,4002514399164,E7155710 SPAZZ.PARQUET TWISTER SBB 300-3 SETOLE NATURALI,MIELE,PED LINEA PULIZIA,ACCESSORI E RICAMBI,ACCESSORI E RICAMBI,47.25,59.9,,,NO
